# Flame transfer function of the TUM BRS burner, digitized from Fig. 2 of
# T. Emmert, S. Bomberg, S. Jaensch and W. Polifke, "Acoustic and intrinsic thermoacoustic
# modes of a premixed combustor", Proc. Combust. Inst. 36 (2017) 3835-3842,
# doi:10.1016/j.proci.2016.08.002.  The figure is an embedded 680x407 raster; the two
# curves were traced by their ink centroid, the axes calibrated from the frame lines and
# tick marks, and the samples binned to 5 Hz and interpolated onto this 2 Hz grid.
# One pixel is 0.0126 in gain and 0.1345 rad in phase; that sets the accuracy.
# The phase tick labels of the published figure run -6pi, -4pi, -2pi from top to bottom,
# which reverses the axis; they are read the other way here, the only assignment for
# which the zero-frequency phase vanishes as a flame response must.
# 
# frequency_hz,gain,phase_rad
352.0000,0.18807,-11.80455
354.0000,0.18807,-11.83466
356.0000,0.18807,-11.85745
358.0000,0.18807,-11.89261
360.0000,0.18807,-11.96450
362.0000,0.18807,-12.04664
364.0000,0.18807,-12.10005
366.0000,0.18807,-12.12234
368.0000,0.18807,-12.17186
370.0000,0.18809,-12.25644
372.0000,0.18811,-12.34412
374.0000,0.18811,-12.42820
376.0000,0.18809,-12.51204
378.0000,0.18801,-12.54421
380.0000,0.18719,-12.54421
382.0000,0.18578,-12.54873
384.0000,0.18224,-12.60923
386.0000,0.17590,-12.70385
388.0000,0.17072,-12.78663
390.0000,0.16981,-12.86081
392.0000,0.16981,-12.93073
394.0000,0.16829,-12.97963
396.0000,0.16218,-13.00271
398.0000,0.15501,-13.02767
400.0000,0.15064,-13.07742
402.0000,0.14847,-13.13061
404.0000,0.14300,-13.16680
406.0000,0.13291,-13.19639
408.0000,0.12553,-13.21068
410.0000,0.12467,-13.21686
412.0000,0.12435,-13.22000
414.0000,0.12196,-13.21953
416.0000,0.11950,-13.21732
418.0000,0.11950,-13.21488
420.0000,0.11950,-13.21161
422.0000,0.11950,-13.20921
424.0000,0.11950,-13.20909
426.0000,0.11950,-13.20909
428.0000,0.11950,-13.20909
430.0000,0.11950,-13.20909
432.0000,0.11950,-13.22797
434.0000,0.12030,-13.30106
436.0000,0.12356,-13.38905
438.0000,0.12494,-13.44821
440.0000,0.12506,-13.44701
442.0000,0.12518,-13.43386
444.0000,0.12563,-13.49264
446.0000,0.12617,-13.60179
448.0000,0.12618,-13.67869
450.0000,0.12611,-13.69253
452.0000,0.12600,-13.70266
454.0000,0.12586,-13.75210
456.0000,0.12571,-13.83718
458.0000,0.12556,-13.87397
460.0000,0.12540,-13.87397
462.0000,0.12518,-13.87869
464.0000,0.12485,-13.93782
466.0000,0.12429,-14.03138
468.0000,0.12329,-14.11831
470.0000,0.11940,-14.21570
472.0000,0.11439,-14.30919
474.0000,0.11091,-14.35095
476.0000,0.10791,-14.35122
478.0000,0.10692,-14.35279
480.0000,0.10692,-14.38325
482.0000,0.10517,-14.41930
484.0000,0.09761,-14.46070
486.0000,0.08950,-14.50240
488.0000,0.08670,-14.53199
490.0000,0.08660,-14.53885
492.0000,0.08650,-14.53885
494.0000,0.08579,-14.53885
496.0000,0.08374,-14.53885
498.0000,0.08104,-14.53885
500.0000,0.07846,-14.53885
