# Published eigenvalues of the BRS combustor network model.
# Source: T. Emmert, "Intrinsic Thermoacoustic Feedback of Premixed Flames" (Dr.-Ing.
# dissertation, TU Muenchen), Figure 4.8, the one-to-one counterpart of Figure 7
# of Emmert, Bomberg, Jaensch & Polifke, Proc. Combust. Inst. 36 (2017) 3835-3842.
# The dissertation figure is vector graphics; coordinates are read from the drawing
# commands with the axis gridlines as calibration (residual < 0.01 Hz), so unlike a
# raster digitization the values carry no pixel quantization.
# Growth rate follows the reference's convention sigma/(2*pi) with s = sigma + j*omega.
# 'sweep' points sample the eigenvalue tracks as the outlet reflection is
# lowered from the fully reflective open end (R = -1) to non-reflective (R = 0).
kind,growth_hz,frequency_hz
sweep,-1.86,110.83
sweep,-1.88,110.87
sweep,-1.89,110.91
sweep,-1.90,110.93
sweep,-1.90,110.96
sweep,-1.91,110.97
sweep,-1.91,110.98
sweep,-1.92,110.99
sweep,-1.92,111.00
sweep,-1.92,111.01
sweep,-1.92,111.02
sweep,-1.92,111.02
sweep,-1.93,111.02
sweep,-1.93,111.02
sweep,-1.93,111.03
sweep,-1.93,111.03
sweep,-1.93,111.03
sweep,-1.93,111.03
sweep,-1.93,111.03
sweep,-38.36,217.14
sweep,-38.36,217.14
sweep,-38.36,217.15
sweep,-38.36,217.15
sweep,-38.36,217.16
sweep,-38.36,217.16
sweep,-38.36,217.17
sweep,-38.36,217.17
sweep,-38.36,217.18
sweep,-38.36,217.19
sweep,-38.36,217.22
sweep,-38.35,217.24
sweep,-38.35,217.27
sweep,-38.35,217.31
sweep,-38.35,217.36
sweep,-38.35,217.43
sweep,-38.35,217.52
sweep,-38.34,217.64
sweep,-38.34,217.80
sweep,-38.33,218.01
sweep,-38.32,218.28
sweep,-38.31,218.63
sweep,-38.30,219.09
sweep,-38.28,219.69
sweep,-38.26,220.47
sweep,-38.25,221.47
sweep,-38.25,222.75
sweep,-38.29,224.37
sweep,-38.30,224.60
sweep,-38.31,224.85
sweep,-38.35,225.48
sweep,-38.42,226.33
sweep,-38.43,226.37
sweep,-38.51,227.16
sweep,-38.62,227.95
sweep,-38.76,228.71
sweep,-38.77,228.78
sweep,-38.91,229.44
sweep,-38.99,229.82
sweep,-39.07,230.14
sweep,-39.26,230.81
sweep,-39.46,231.44
sweep,-39.48,231.51
sweep,-39.67,232.04
sweep,-39.90,232.61
sweep,-40.01,232.87
sweep,-40.13,233.15
sweep,-40.37,233.64
sweep,-40.61,234.11
sweep,-40.70,234.28
sweep,-40.85,234.55
sweep,-40.95,234.72
sweep,-41.10,234.96
sweep,-41.34,235.34
sweep,-41.58,235.69
sweep,-41.71,235.87
sweep,-41.82,236.02
sweep,-42.27,236.61
sweep,-42.70,237.11
sweep,-43.02,237.47
sweep,-43.26,237.72
sweep,-43.44,237.91
sweep,-43.58,238.05
sweep,-43.69,238.16
sweep,-43.77,238.24
sweep,-43.84,238.30
sweep,-43.89,238.35
sweep,-43.93,238.39
sweep,-43.96,238.42
sweep,-43.99,238.44
sweep,-44.01,238.47
sweep,-44.02,238.48
sweep,-44.03,238.49
sweep,-44.05,238.50
sweep,-44.05,238.51
sweep,-44.06,238.51
sweep,-44.06,238.52
